names,references,prices,descriptions,disponibilities,Système d'exploitation,Processeur,Réf processeur,Mémoire,Disque Dur,Carte Graphique,Réf Carte graphique,Taille Ecran,Type Ecran,Ecran Tactile,Lecteurs/Graveurs,Réseau,Caméra,Garantie,Taux de Rafraîchissement
PC PORTABLE LENOVO V15,82C7007YFE,"599,000","Ecran 15.6"" LED HD - Processeur AMD 3020e, up to 2.6 GHz, 4 Mo de cache - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",En stock,,AMD Dual Core,,4 Go,1 To,AMD Radeon,,"14"" - 15.6""",HD,Non,Lecteur De Cartes,WiFi - Bluetooth,Webcam HD,1 An,
PC PORTABLE HP 15-FD0298NK,A30XQEA,"659,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100, (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Celeron,,4 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0298NK,A30XQEA-SAC,"665,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100, (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an Avec Sacoche Offerte",En stock,,Intel Celeron,,4 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0297NK,AB1T8EA,"679,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100 , (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graohics Intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Celeron,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X515KA,X515KA-EJ008,"719,000","Écran 15.6"" Full HD (1920 x 1080), rétroéclairage LED - Taux de rafraîchissement: 60 Hz - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics - Caméra HD 720p - Haut-parleur/Microphone intégrés - Wi-Fi 5 - Bluetooth 5.1 - 1x USB 3.2 - 1x USB-C 3.2 - 2x USB 2.0 - 1x HDMI 1.4 - 1x Prise audio combo 3.5 mm - FreeDOS - Couleur Argent transparent - Garantie 1 an",En stock,,Intel Celeron,,4 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,,,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE HP 15-FD0298NK,A30XQEA-8,"679,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100, (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an",En stock,,Intel Celeron,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE ASUS VIVOBOOK 15 X515KA,X515KA-EJ008-SAC,"729,000","Écran 15.6"" Full HD (1920 x 1080), rétroéclairage LED - Taux de rafraîchissement: 60 Hz - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics - Caméra HD 720p - Haut-parleur/Microphone intégrés - Wi-Fi 5 - Bluetooth 5.1 - 1x USB 3.2 - 1x USB-C 3.2 - 2x USB 2.0 - 1x HDMI 1.4 - 1x Prise audio combo 3.5 mm - FreeDOS - Couleur Argent transparent - Garantie 1 an Avec Sacoche Offerte",En stock,,Intel Celeron,,4 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",Full HD,,,WiFi - Bluetooth,Webcam Avec Micro,1 An,
PC PORTABLE HP 15-FD0298NK,A30XQEA-8-SAC,"699,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100, (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an Avec Sacoche Offerte",En stock,,Intel Celeron,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE LENOVO IDEAPAD 1 15IGL7,82V700KFFE,"699,000","Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4020, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD 600 Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo, 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDOS - Couleur Gris nuage - Garantie 1 an",En stock,,Intel Celeron,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
PC PORTABLE HP 15-FD0297NK,AB1T8EA-SAC,"699,000","Écran 15.6"" HD (1366 x 768), antireflet - Processeur Intel Celeron N100 , (jusqu'à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graohics Intégrée - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x combinée casque/microphone - FreeDOS - Couleur Noir - Garantie 1 an Avec Sacoche Offerte",En stock,,Intel Celeron,,8 Go,256 Go SSD,Graphique Intégrée,,"14"" - 15.6""",HD,Non,,,,1 An,
